"LOCATION_NAME","TSN","X_COORD","Y_COORD","EFA_ID","PHONE","ADDRESS","FACILITIES","ACCESS","TRANSPORT"
"Awaba Station","228310","151.5416347","-33.0129204",10101150,"02 4349 9241","Adelaide St, Awaba NSW 2283","Commuter car park | Emergency help point | No Opal card top up or single trip ticket sales","Stairs | This location is not wheelchair accessible | PA system for announcements | Short platforms, leave the train from the last 4 cars","Train, Bus"
"Banksia Station","221610","151.1404316","-33.94528645",10101334,"02 9563 7429","Hattersley St, Banksia NSW 2216","Bike racks | Emergency help point | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Taxi rank","Hearing loop | Stairs | Tactile surfaces | This location is not wheelchair accessible | PA system for announcements","Train, Bus, Taxi"
"Bankstown Station","220010","151.0346869","-33.91786454",10101401,"02 9563 7160","North Tce, Bankstown NSW 2200","Bike lockers | Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible payphone | Wheelchair accessible toilet | Baby change table | Taxi rank","This location is wheelchair accessible | Hearing loop | Lift | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Taxi"
"Bardwell Park Station","220710","151.1248574","-33.93161666",10101410,"02 9563 7428","Hartill-Law Ave, Bardwell Park NSW 2207","Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets","Hearing loop | Stairs | This location is not wheelchair accessible | PA system for announcements","Train, Bus"
"Bargo Station","257420","150.5802091","-34.29136493",10101303,"02 4684 1320","Hume Hwy, Bargo NSW 2574","Commuter car park | Emergency help point | No Opal card top up or single trip ticket sales | Toilets | Wheelchair accessible car space","This location is not wheelchair accessible | PA system for announcements | Short platforms, leave the train from the last 2 cars","Train, Bus"
"Bathurst Station","279538","149.5832161","-33.42562703",10101281,"13 22 32","Keppel St, Bathurst NSW 2795","Bike racks | Commuter car park | Payphone | No Opal card top up or single trip ticket sales | Toilets | Wheelchair accessible car space | Wheelchair accessible payphone | Wheelchair accessible toilet (MLAK) | Baby change table | Taxi rank","This location is wheelchair accessible | Wheelchair ramp boarding assistance | PA system for announcements","Train, Coach, Bus, Taxi"
"Beecroft Station","211910","151.0662982","-33.74995417",10101197,"02 9847 8421","Wongala Cres, Beecroft NSW 2119","Bike lockers | Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible toilet | Taxi rank","Hearing loop | Stairs | This location is not wheelchair accessible | PA system for announcements","Train, Bus, Taxi"
"Bell Station","278620","150.2788861","-33.50568554",10101272,"02 4787 8452","Bells Line of Road, Bell NSW 2786","Emergency help point | No Opal card top up or single trip ticket sales","Level crossing | This location is not wheelchair accessible | PA system for announcements | Short platforms, leave the train from the last 4 cars","Train"
"Bellambi Station","251810","150.9099025","-34.36331842",10101367,"02 4223 5579","Bellambi Lane, Bellambi NSW 2518","Commuter car park | Emergency help point | Payphone | No Opal card top up or single trip ticket sales | Toilets | Wheelchair accessible car space | Taxi rank","Level crossing | Tactile surfaces | This location is not wheelchair accessible | PA system for announcements | Short platforms, leave the train from the last 6 cars","Train, Bus, Taxi"
"Belmore Station","219210","151.0887332","-33.91721798",10101397,"02 9563 7578","Burwood Rd, Belmore NSW 2192","Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible toilet | Taxi rank","This location is wheelchair accessible | Hearing loop | Lift | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Taxi"
"Berala Station","214120","151.0324418","-33.87183567",10101390,"02 9752 8813","Woodburn Rd, Berala NSW 2141","Bike racks | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Taxi rank","Hearing loop | Stairs | Tactile surfaces | This location is not wheelchair accessible | PA system for announcements","Train, Bus, Taxi"
"Beresfield Station","232230","151.6578627","-32.79894599",10101172,"02 4962 9944","Addison St, Beresfield NSW 2322","Commuter car park | Emergency help point | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible payphone | Wheelchair accessible toilet | Taxi rank","This location is wheelchair accessible | Hearing loop | Lift | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Taxi"
"Berowra Station","208110","151.1529711","-33.6236572",10101131,"02 9847 8496","Pacific Hwy, Berowra NSW 2081","Bike lockers | Bike racks | Commuter car park | Emergency help point | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible payphone","This location is wheelchair accessible | Hearing loop | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements | Short platforms, leave the train from the last 6 cars","Train, Bus"
"Berry Station","253510","150.6969659","-34.78033267",10101388,"02 4464 1022","Station Rd, Berry NSW 2535","Bike racks | Commuter car park | Emergency help point | Payphone | No Opal card top up or single trip ticket sales | Toilets | Wheelchair accessible car space | Wheelchair accessible payphone | Taxi rank","This location is wheelchair accessible | Hearing loop | Level crossing | Tactile surfaces | PA system for announcements","Train, Bus, Taxi"
"Beverly Hills Station","220910","151.0816922","-33.94884857",10101413,"02 9563 7650","Morgan St, Beverly Hills NSW 2209","Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible toilet | Baby change table | Taxi rank","This location is wheelchair accessible | Hearing loop | Lift | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Taxi"
"Bexley North Station","220720","151.1133973","-33.93756601",10101411,"02 9563 7613","Kingsgrove Ave, Bexley North NSW 2207","Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets","Hearing loop | Stairs | This location is not wheelchair accessible | PA system for announcements","Train, Bus"
"Birrong Station","214320","151.0240413","-33.8932786",10101403,"02 9379 7727","Rodd St, Birrong NSW 2143","Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible toilet","Hearing loop | Stairs | Tactile surfaces | This location is not wheelchair accessible | PA system for announcements","Train"
"Blackheath Station","278510","150.284345","-33.63288104",10101270,"02 4780 3992","Railway Pde, Blackheath NSW 2785","Bike lockers | Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | No Opal card top up or single trip ticket sales | Toilets | Wheelchair accessible car space | Wheelchair accessible payphone | Taxi rank","Level crossing | Stairs | Tactile surfaces | This location is not wheelchair accessible | PA system for announcements","Train, Bus, Taxi"
"Blacktown Station","214810","150.9075105","-33.76822903",10101235,"02 9851 7212","Main St, Blacktown NSW 2148","Bike lockers | Bike racks | Bike shed | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible payphone | Wheelchair accessible toilet | Taxi rank","This location is wheelchair accessible | Escalator | Hearing loop | Lift | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Taxi"
"Blaxland Station","277410","150.6095957","-33.74357659",10101256,"02 4739 1620","Station St, Blaxland NSW 2774","Bike lockers | Bike racks | Commuter car park | Emergency help point | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible payphone | Wheelchair accessible toilet | Taxi rank","This location is wheelchair accessible | Hearing loop | Lift | Stairs | Tactile surfaces | PA system for announcements | Short platforms, leave the train from the last 6 cars","Train, Bus, Taxi"
"Bomaderry Station","254110","150.6098088","-34.85377666",10101389,"02 4423 0141","Meroo St, Bomaderry NSW 2541","Bike lockers | Bike racks | Commuter car park | Emergency help point | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible toilet | Baby change table | Taxi rank","This location is wheelchair accessible | Hearing loop | Tactile surfaces | PA system for announcements","Train, Bus, Taxi"
"Bombo Station","253320","150.8539755","-34.6580285",10101385,"02 4223 5613","Princes Hwy, Bombo NSW 2533","Commuter car park | Emergency help point | Payphone | No Opal card top up or single trip ticket sales | Wheelchair accessible car space | Taxi rank","This location is wheelchair accessible | Stairs | Tactile surfaces | PA system for announcements","Train, Taxi"
"Bondi Junction Station","202210","151.2483843","-33.89120228",10101109,"02 9379 4843","Grafton St, Bondi Junction NSW 2022","Bike lockers | Bike racks | Emergency help point | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible payphone | Wheelchair accessible toilet (MLAK) | Baby change table | Taxi rank","This location is wheelchair accessible | Escalator | Hearing loop | Lift | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Taxi"
"Booragul Station","228410","151.6046902","-32.97142254",10101152,"02 4962 9437","Station St, Booragul NSW 2284","Emergency help point | No Opal card top up or single trip ticket sales | Wheelchair accessible car space","Stairs | This location is not wheelchair accessible | PA system for announcements | Short platforms, leave the train from the last 4 cars","Train"
"Bowral Station","257610","150.4166585","-34.47812317",10101306,"02 4861 2045","Station St, Bowral NSW 2576","Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible toilet | Baby change table | Taxi rank","This location is wheelchair accessible | Hearing loop | Lift | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Taxi"
"Branxton Station","233510","151.3456449","-32.66225215",10101189,"02 6543 1018","Railway St, Branxton NSW 2335","Commuter car park | Emergency help point | No Opal card top up or single trip ticket sales","Stairs | This location is not wheelchair accessible | PA system for announcements | Short platforms, leave the train from the middle doors","Train"
"Broadmeadow Station","229210","151.734686","-32.92301689",10101160,"02 4962 9122","Graham Rd, Broadmeadow NSW 2292","Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible payphone | Wheelchair accessible toilet | Taxi rank","Hearing loop | Stairs | This location is wheelchair accessible | PA system for announcements | Short platforms, leave the train from the last 6 cars | Lift | Tactile surfaces","Train, Coach, Bus, Taxi"
"Bullaburra Station","278410","150.4146074","-33.72360616",10101265,"02 4759 1052","Great Western Hwy, Bullaburra NSW 2784","Commuter car park | Emergency help point | Payphone | No Opal card top up or single trip ticket sales","Stairs | This location is not wheelchair accessible | PA system for announcements | Short platforms, leave the train from the last 6 cars","Train, Bus"
"Bulli Station","251610","150.9147439","-34.33448098",10101365,"02 4223 5577","Railway St, Bulli NSW 2516","Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | No Opal card top up or single trip ticket sales | Toilets | Wheelchair accessible car space | Wheelchair accessible payphone | Wheelchair accessible toilet | Taxi rank","This location is wheelchair accessible | Lift | PA system for announcements","Train, Bus, Taxi"
"Bundanoon Station","257810","150.2987371","-34.65613474",10101310,"02 4868 1115","Railway Ave, Bundanoon NSW 2578","Commuter car park | Emergency help point | No Opal card top up or single trip ticket sales | Toilets | Wheelchair accessible car space | Wheelchair accessible toilet","Level crossing | This location is not wheelchair accessible | PA system for announcements","Train, Bus"
"Burradoo Station","257620","150.3983388","-34.49401919",10101307,"02 4861 2045","Station St, Burradoo NSW 2576","Emergency help point | Payphone | No Opal card top up or single trip ticket sales | Wheelchair accessible car space","Level crossing | This location is not wheelchair accessible | PA system for announcements | Short platforms, leave the train from the last 2 cars","Train"
"Burwood Station","213410","151.1047622","-33.87731465",10101207,"02 9752 8734","Railway Pde, Burwood NSW 2134","Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible toilet | Taxi rank","This location is wheelchair accessible | Hearing loop | Lift | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Taxi"
"Cabramatta Station","216620","150.9388206","-33.89486655",10101287,"02 9765 1234","Railway Pde, Cabramatta NSW 2166","Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible toilet | Baby change table | Taxi rank","This location is wheelchair accessible | Hearing loop | Lift | Wheelchair ramp boarding assistance | Tactile surfaces | PA system for announcements","Train, Bus, Taxi"
"Camellia Station","214210","151.0243009","-33.81873435",10101222,"02 9848 9212","Grand Ave, Camellia NSW 2142","Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | No Opal card top up or single trip ticket sales | Wheelchair accessible payphone","Hearing loop | Level crossing | This location is not wheelchair accessible | PA system for announcements","Train"
"Campbelltown Station","256020","150.813929","-34.06383549",10101296,"02 4629 0721","Hurley St, Campbelltown NSW 2560","Bike lockers | Bike racks | Bike shed | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible toilet | Taxi rank","This location is wheelchair accessible | Hearing loop | Lift | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Taxi"
"Campsie Station","219410","151.1026308","-33.91048116",10101396,"02 9718 3020","Beamish St, Campsie NSW 2194","Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible toilet | Taxi rank","This location is wheelchair accessible | Hearing loop | Lift | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Taxi"
"Canley Vale Station","216610","150.943987","-33.88679793",10101286,"02 9765 1102","Railway Pde, Canley Vale NSW 2166","Commuter car park | Emergency help point | Kiss and ride stopping area | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space","Wheelchair ramp boarding assistance | Stairs | This location is not wheelchair accessible | PA system for announcements","Train, Bus"
"Canterbury Station","219320","151.1182133","-33.91167214",10101395,"02 9563 7678","Canterbury Rd, Canterbury NSW 2193","Bike lockers | Bike racks | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets","Hearing loop | Stairs | Tactile surfaces | This location is not wheelchair accessible | PA system for announcements","Train, Bus"
"Cardiff Station","228520","151.6629801","-32.94182388",10101157,"02 4962 9437","Main Rd, Cardiff NSW 2285","Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Wheelchair accessible car space | Wheelchair accessible toilet | Taxi rank","This location is wheelchair accessible | Hearing loop | Lift | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Taxi"
"Caringbah Station","222910","151.1227476","-34.04161039",10101349,"02 9522 1249","The Kingsway, Caringbah NSW 2229","Emergency help point | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible toilet | Taxi rank","This location is wheelchair accessible | Hearing loop | Lift | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Taxi"
"Carlingford Station","211810","151.0470507","-33.78220108",10101226,"02 9848 9025","Lloyds Ave, Carlingford NSW 2118","Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | No Opal card top up or single trip ticket sales | Toilets | Wheelchair accessible car space | Wheelchair accessible toilet","This location is wheelchair accessible | Hearing loop | Tactile surfaces | PA system for announcements","Train, Bus"
"Carlton Station","221810","151.1243369","-33.96826632",10101337,"02 9563 7612","Railway Pde, Carlton NSW 2218","Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible toilet | Taxi rank","This location is wheelchair accessible | Hearing loop | Lift | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Taxi"
"Carramar Station","216330","150.9615486","-33.88431779",10101408,"02 9765 1168","Wattle Ave, Carramar NSW 2163","Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space","Hearing loop | Stairs | Tactile surfaces | This location is not wheelchair accessible | PA system for announcements","Train"
"Casula Station","217030","150.911946","-33.94981838",10101290,"02 9765 1655","Rushton Pl, Casula NSW 2170","Commuter car park | Emergency help point | No Opal card top up or single trip ticket sales | Wheelchair accessible car space","This location is wheelchair accessible | Lift | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements","Train"
"Central Station","200060","151.2058293","-33.88388163",10101100,"02 9379 1777","Eddy Ave, Haymarket NSW 2000","Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible payphone | Wheelchair accessible toilet (MLAK) | Luggage storage | Baby change table | Free WiFi hotspot | Taxi rank","This location is wheelchair accessible | Escalator | Hearing loop | Lift | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Light rail, Taxi"
"Chatswood Station","206710","151.1808207","-33.79713406",10101117,"02 9379 3311","Cnr Railway St & Victoria Ave, Chatswood NSW 2067","Bike lockers | Bike racks | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible payphone | Wheelchair accessible toilet (MLAK) | Baby change table | Taxi rank","This location is wheelchair accessible | Escalator | Hearing loop | Lift | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Taxi"
"Cheltenham Station","211920","151.0788513","-33.75586837",10101198,"02 9847 8417","Sutherland Rd, Cheltenham NSW 2119","Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space","Hearing loop | Stairs | Tactile surfaces | This location is not wheelchair accessible | PA system for announcements","Train"
"Chester Hill Station","216220","150.9994456","-33.8835435",10101405,"02 9379 7703","Chester Hill Rd, Chester Hill NSW 2162","Bike racks | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Taxi rank","Hearing loop | Stairs | This location is not wheelchair accessible | PA system for announcements","Train, Bus, Taxi"
"Circular Quay Station","200020","151.2103898","-33.86132358",10101103,"02 9224 3553","Alfred St, Sydney NSW 2000","Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible payphone | Wheelchair accessible toilet (MLAK) | Taxi rank","This location is wheelchair accessible | Escalator | Hearing loop | Lift | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | PA system for announcements","Train, Bus, Ferry, Taxi"
"Clarendon Station","275630","150.7885628","-33.60895245",10101243,"02 9851 7249","Racecourse Rd, Clarendon NSW 2756","Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | No Opal card top up or single trip ticket sales | Toilets | Wheelchair accessible car space | Wheelchair accessible payphone | Wheelchair accessible toilet","Hearing loop | Level crossing | Wheelchair ramp boarding assistance | Stairs | This location is not wheelchair accessible | PA system for announcements","Train"
"Clyde Station","214230","151.0174895","-33.83628176",10101220,"02 9848 9212","Berry St, Granville NSW 2142","Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets","Hearing loop | Lift | Wheelchair ramp boarding assistance | Stairs | This location is not wheelchair accessible | PA system for announcements","Train"
"Coalcliff Station","250850","150.9772427","-34.24225043",10101359,"02 4223 5569","Lawrence Hargrave Dr, Coalcliff NSW 2508","Commuter car park | Emergency help point | Payphone | No Opal card top up or single trip ticket sales | Toilets","Stairs | This location is not wheelchair accessible | PA system for announcements","Train, Bus"
"Cockle Creek Station","228430","151.6233813","-32.94270992",10101155,"02 4962 9437","Lake Rd, Boolaroo NSW 2284","Commuter car park | Emergency help point | No Opal card top up or single trip ticket sales","Stairs | This location is not wheelchair accessible | PA system for announcements | Short platforms, leave the train from the last 4 cars","Train, Bus"
"Coledale Station","251530","150.9433353","-34.28938913",10101423,"02 4223 5573","Cater St, Coledale NSW 2515","Commuter car park | Emergency help point | No Opal card top up or single trip ticket sales | Toilets | Taxi rank","Stairs | This location is not wheelchair accessible | PA system for announcements | Short platforms, leave the train from the last 6 cars","Train, Taxi"
"Como Station","222610","151.0679988","-34.00426616",10101343,"02 9522 1244","Como Pde, Como NSW 2226","Bike lockers | Bike racks | Commuter car park | Emergency help point | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space","Hearing loop | Stairs | Tactile surfaces | This location is not wheelchair accessible | PA system for announcements","Train"
"Concord West Station","213810","151.0856262","-33.84873998",10101204,"02 9752 8421","Queen St, Concord West NSW 2138","Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Wheelchair accessible car space | Wheelchair accessible payphone | Wheelchair accessible toilet | Baby change table","This location is wheelchair accessible | Hearing loop | Lift | Stairs | PA system for announcements","Train"
"Coniston Station","250030","150.8855292","-34.43745489",10101373,"02 4223 5529","Gladstone Ave, Coniston NSW 2500","Bike lockers | Bike racks | Commuter car park | Emergency help point | Payphone | No Opal card top up or single trip ticket sales | Wheelchair accessible car space | Wheelchair accessible payphone | Taxi rank","This location is not wheelchair accessible | PA system for announcements","Train, Bus, Taxi"
"Corrimal Station","251820","150.9049716","-34.37572692",10101368,"02 4223 5580","Murray Rd, Corrimal NSW 2518","Bike lockers | Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | No Opal card top up or single trip ticket sales | Wheelchair accessible car space | Wheelchair accessible payphone | Taxi rank","This location is wheelchair accessible | Level crossing | Tactile surfaces | PA system for announcements","Train, Taxi"
"Cowan Station","208120","151.1717177","-33.59310763",10101132,"02 9847 8496","Pacific Hwy, Cowan NSW 2081","Commuter car park | Emergency help point | Payphone | No Opal card top up or single trip ticket sales | Toilets","This location is wheelchair accessible | Level crossing | Tactile surfaces | PA system for announcements | Short platforms, leave the train from the last 4 cars","Train"
"Cringila Station","250520","150.8784228","-34.46717554",10101375,"02 4223 5694","Five Islands Rd, Port Kembla NSW 2505","Bike racks | Commuter car park | Emergency help point | Payphone | No Opal card top up or single trip ticket sales | Toilets","Stairs | This location is not wheelchair accessible | PA system for announcements","Train, Bus"
"Cronulla Station","223020","151.1515424","-34.05625171",10101351,"02 9522 1245","Cronulla St, Cronulla NSW 2230","Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible payphone | Wheelchair accessible toilet | Baby change table | Taxi rank","This location is wheelchair accessible | Wheelchair ramp boarding assistance | Tactile surfaces | PA system for announcements","Train, Bus, Ferry, Taxi"
"Dulwich Hill Station","220310","151.1409894","-33.91110223",10101393,"02 9563 7595","Wardell Rd, Dulwich Hill NSW 2203","Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space | Wheelchair accessible payphone","Stairs | This location is not wheelchair accessible | PA system for announcements","Train, Bus, Light rail"
"Dundas Station","211720","151.0331967","-33.80389397",10101224,"02 9637 1520","Station St, Dundas NSW 2117","Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | No Opal card top up or single trip ticket sales | Wheelchair accessible car space","This location is wheelchair accessible | Hearing loop | Level crossing | Tactile surfaces | PA system for announcements","Train, Bus"
"Dungog Station","242010","151.7595395","-32.4022901",10101186,"02 4962 9512","Brown St, Dungog NSW 2420","Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | No Opal card top up or single trip ticket sales | Toilets","This location is wheelchair accessible | Level crossing | Wheelchair ramp boarding assistance | Stairs | PA system for announcements","Train, Bus"
"East Hills Station","221320","150.9848973","-33.96160677",10101419,"02 9563 7774","Park Rd, East Hills NSW 2213","Bike lockers | Bike racks | Commuter car park | Emergency help point | Kiss and ride stopping area | Payphone | Opal card top up or single trip ticket machine | Toilets | Wheelchair accessible car space","Hearing loop | Wheelchair ramp boarding assistance | Stairs | Tactile surfaces | This location is not wheelchair accessible | PA system for announcements","Train, Bus"
